inggrisa,alproa,aljabarlinear,fisikadasar,kalkulusa,aptia,inggrisb,alprob,kalkulusb,aptib,statistika,pemdas,pemdasprak,pemweb,pemwebprak,pbo,pboprak,sbd,sbdprak,sd,sdprak,jarkom,jarkomprak,matdis,mpa,sbdl,sbdlprak,sc,tbo,konsentrasi
C,C,B,B,C,B,C,C,B,B,B,D,A,B,A,A,A,B,B,C,A,A,B,B,B,B,A,A,B,2
B,B,A,B,B,B,C,C,B,D,B,B,B,B,B,B,B,C,B,C,A,A,B,B,A,B,A,A,B,2
B,A,A,A,A,A,C,C,B,C,B,A,A,B,B,B,A,B,B,C,A,A,B,A,B,B,A,A,A,2
C,C,B,B,C,B,B,C,B,C,C,C,D,C,B,B,C,C,D,D,A,C,E,E,D,C,E,E,D,1
C,C,B,A,C,B,B,C,B,C,C,B,A,B,A,B,B,C,B,B,A,A,B,C,B,B,B,B,B,1
C,C,C,C,D,C,C,C,C,C,B,D,D,B,B,B,E,D,D,C,B,A,C,C,B,B,A,C,D,0
C,A,B,B,B,A,B,A,C,A,A,A,A,A,A,A,A,B,A,A,A,A,B,B,B,A,A,A,A,1
C,A,A,A,B,A,B,B,B,B,B,B,A,B,D,B,A,B,D,B,B,B,C,A,B,B,B,A,A,1
C,C,B,B,C,A,B,D,B,B,B,E,B,C,B,B,E,D,D,C,B,B,C,C,B,A,A,D,C,0
C,A,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,B,A,A,A,A,A,A,1
D,B,D,C,D,E,C,C,D,D,C,E,E,C,D,E,E,C,E,D,B,A,C,C,A,B,A,A,C,0
C,A,A,B,C,A,B,D,B,C,B,C,A,A,A,B,A,C,C,B,A,A,B,C,B,C,A,B,C,0
C,A,B,B,C,B,B,C,B,A,B,B,A,A,A,A,D,C,C,B,A,A,B,B,B,B,B,A,B,0
C,B,B,B,C,B,C,C,B,B,B,C,A,A,B,B,D,B,C,C,A,B,B,B,B,C,C,B,C,1
C,C,B,B,B,A,B,B,C,B,B,A,A,A,A,A,A,C,B,B,A,A,B,B,A,A,A,A,A,1
C,A,C,C,D,B,C,B,D,B,C,C,A,B,A,B,B,C,B,B,A,B,B,C,B,B,B,B,C,1
C,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,1
C,A,A,B,B,A,B,C,C,A,B,C,A,A,A,A,A,B,B,B,A,B,C,A,B,A,B,A,A,1
B,B,B,B,C,A,C,C,C,C,C,D,A,C,B,C,C,C,C,C,A,A,A,C,C,B,A,C,C,0
C,B,B,B,C,C,C,B,C,B,A,B,B,B,A,A,A,C,B,B,A,A,B,B,B,A,A,B,C,1
C,A,B,C,C,B,B,D,B,B,B,C,A,B,A,A,B,C,B,B,B,A,B,C,B,B,A,B,A,2
C,A,A,A,A,E,A,B,A,A,A,C,C,A,A,A,A,A,A,B,A,A,B,C,B,A,A,A,B,1
C,B,B,B,B,B,C,A,C,B,C,B,C,B,E,C,E,C,C,C,,C,C,,D,C,B,C,,0
C,E,B,B,B,C,C,E,C,E,C,E,E,C,E,E,E,D,D,D,,D,C,D,,,,C,E,2
C,B,C,B,C,A,B,E,C,B,B,A,A,A,A,B,A,C,B,B,B,A,C,B,B,B,B,B,A,0
C,B,C,B,C,A,C,D,C,C,B,B,B,D,B,B,B,C,E,C,B,C,C,,B,B,,D,C,0
B,B,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,A,B,B,C,A,B,A,B,A,A,A,A,1
C,C,C,D,C,E,E,E,D,E,C,D,E,E,E,D,E,D,E,D,,E,C,E,E,,,,,0
B,A,A,A,A,A,A,B,A,A,A,A,A,B,A,A,A,A,B,A,C,A,B,A,A,A,A,A,A,1
B,B,A,B,B,A,B,B,B,B,A,A,A,A,A,A,A,A,B,B,C,A,B,B,B,A,A,A,C,1
